_id,ltable_id,rtable_id,ltable_name,ltable_genus,ltable_family,rtable_name,rtable_genus,rtable_family
144,4929,1130,ochlockonee moccasinshell,Medionidus,Unionidae,cumberland bean pearly mussel ,Villosa ,Unionidae
145,4929,1378,ochlockonee moccasinshell,Medionidus,Unionidae,orangefoot pimpleback ,Plethobasus ,Unionidae
146,4929,1379,ochlockonee moccasinshell,Medionidus,Unionidae,orangefoot pimpleback ,Plethobasus ,Unionidae
147,5007,689,"golf stick pearly mussel, ring pink",Obovaria,Unionidae,oyster mussel ,Epioblasma ,Unionidae
148,5007,690,"golf stick pearly mussel, ring pink",Obovaria,Unionidae,oyster mussel ,Epioblasma ,Unionidae
149,5007,691,"golf stick pearly mussel, ring pink",Obovaria,Unionidae,oyster mussel ,Epioblasma ,Unionidae
150,5007,1119,"golf stick pearly mussel, ring pink",Obovaria,Unionidae,clubshell pearly mussel ,Pleurobema ,Unionidae
151,5007,1130,"golf stick pearly mussel, ring pink",Obovaria,Unionidae,cumberland bean pearly mussel ,Villosa ,Unionidae
152,5007,1378,"golf stick pearly mussel, ring pink",Obovaria,Unionidae,orangefoot pimpleback ,Plethobasus ,Unionidae
153,5007,1379,"golf stick pearly mussel, ring pink",Obovaria,Unionidae,orangefoot pimpleback ,Plethobasus ,Unionidae
154,5293,689,"orangefooted pimpleback mussel, orangefoot pimpleback",Plethobasus,Unionidae,oyster mussel ,Epioblasma ,Unionidae
155,5293,690,"orangefooted pimpleback mussel, orangefoot pimpleback",Plethobasus,Unionidae,oyster mussel ,Epioblasma ,Unionidae
156,5293,691,"orangefooted pimpleback mussel, orangefoot pimpleback",Plethobasus,Unionidae,oyster mussel ,Epioblasma ,Unionidae
157,5293,1119,"orangefooted pimpleback mussel, orangefoot pimpleback",Plethobasus,Unionidae,clubshell pearly mussel ,Pleurobema ,Unionidae
158,5293,1130,"orangefooted pimpleback mussel, orangefoot pimpleback",Plethobasus,Unionidae,cumberland bean pearly mussel ,Villosa ,Unionidae
159,5293,1378,"orangefooted pimpleback mussel, orangefoot pimpleback",Plethobasus,Unionidae,orangefoot pimpleback ,Plethobasus ,Unionidae
160,5293,1379,"orangefooted pimpleback mussel, orangefoot pimpleback",Plethobasus,Unionidae,orangefoot pimpleback ,Plethobasus ,Unionidae
161,5296,689,"club naiad, clubshell, clubshell pearly mussel",Pleurobema,Unionidae,oyster mussel ,Epioblasma ,Unionidae
162,5296,690,"club naiad, clubshell, clubshell pearly mussel",Pleurobema,Unionidae,oyster mussel ,Epioblasma ,Unionidae
163,5296,691,"club naiad, clubshell, clubshell pearly mussel",Pleurobema,Unionidae,oyster mussel ,Epioblasma ,Unionidae
164,5296,1119,"club naiad, clubshell, clubshell pearly mussel",Pleurobema,Unionidae,clubshell pearly mussel ,Pleurobema ,Unionidae
165,5296,1130,"club naiad, clubshell, clubshell pearly mussel",Pleurobema,Unionidae,cumberland bean pearly mussel ,Villosa ,Unionidae
166,5296,1378,"club naiad, clubshell, clubshell pearly mussel",Pleurobema,Unionidae,orangefoot pimpleback ,Plethobasus ,Unionidae
167,5296,1379,"club naiad, clubshell, clubshell pearly mussel",Pleurobema,Unionidae,orangefoot pimpleback ,Plethobasus ,Unionidae
168,5297,689,"flat pigtoe, marshalls mussel",Pleurobema,Unionidae,oyster mussel ,Epioblasma ,Unionidae
169,5297,690,"flat pigtoe, marshalls mussel",Pleurobema,Unionidae,oyster mussel ,Epioblasma ,Unionidae
170,5297,691,"flat pigtoe, marshalls mussel",Pleurobema,Unionidae,oyster mussel ,Epioblasma ,Unionidae
171,5297,1119,"flat pigtoe, marshalls mussel",Pleurobema,Unionidae,clubshell pearly mussel ,Pleurobema ,Unionidae
172,5297,1130,"flat pigtoe, marshalls mussel",Pleurobema,Unionidae,cumberland bean pearly mussel ,Villosa ,Unionidae
173,5297,1378,"flat pigtoe, marshalls mussel",Pleurobema,Unionidae,orangefoot pimpleback ,Plethobasus ,Unionidae
174,5297,1379,"flat pigtoe, marshalls mussel",Pleurobema,Unionidae,orangefoot pimpleback ,Plethobasus ,Unionidae
175,5298,689,"rough pigtoe, rough pigtoe pearly mussel",Pleurobema,Unionidae,oyster mussel ,Epioblasma ,Unionidae
176,5298,690,"rough pigtoe, rough pigtoe pearly mussel",Pleurobema,Unionidae,oyster mussel ,Epioblasma ,Unionidae
177,5298,691,"rough pigtoe, rough pigtoe pearly mussel",Pleurobema,Unionidae,oyster mussel ,Epioblasma ,Unionidae
178,5298,1119,"rough pigtoe, rough pigtoe pearly mussel",Pleurobema,Unionidae,clubshell pearly mussel ,Pleurobema ,Unionidae
179,5298,1130,"rough pigtoe, rough pigtoe pearly mussel",Pleurobema,Unionidae,cumberland bean pearly mussel ,Villosa ,Unionidae
180,5298,1378,"rough pigtoe, rough pigtoe pearly mussel",Pleurobema,Unionidae,orangefoot pimpleback ,Plethobasus ,Unionidae
181,5298,1379,"rough pigtoe, rough pigtoe pearly mussel",Pleurobema,Unionidae,orangefoot pimpleback ,Plethobasus ,Unionidae
182,5299,689,painted clubshell,Pleurobema,Unionidae,oyster mussel ,Epioblasma ,Unionidae
183,5299,690,painted clubshell,Pleurobema,Unionidae,oyster mussel ,Epioblasma ,Unionidae
184,5299,691,painted clubshell,Pleurobema,Unionidae,oyster mussel ,Epioblasma ,Unionidae
185,5299,1119,painted clubshell,Pleurobema,Unionidae,clubshell pearly mussel ,Pleurobema ,Unionidae
186,5299,1130,painted clubshell,Pleurobema,Unionidae,cumberland bean pearly mussel ,Villosa ,Unionidae
187,5299,1378,painted clubshell,Pleurobema,Unionidae,orangefoot pimpleback ,Plethobasus ,Unionidae
188,5299,1379,painted clubshell,Pleurobema,Unionidae,orangefoot pimpleback ,Plethobasus ,Unionidae
189,5300,689,james river spinymussel,Pleurobema,Unionidae,oyster mussel ,Epioblasma ,Unionidae
190,5300,690,james river spinymussel,Pleurobema,Unionidae,oyster mussel ,Epioblasma ,Unionidae
191,5300,691,james river spinymussel,Pleurobema,Unionidae,oyster mussel ,Epioblasma ,Unionidae
192,5300,1119,james river spinymussel,Pleurobema,Unionidae,clubshell pearly mussel ,Pleurobema ,Unionidae
193,5300,1130,james river spinymussel,Pleurobema,Unionidae,cumberland bean pearly mussel ,Villosa ,Unionidae
