_id,ltable_id,rtable_id,ltable_name,ltable_genus,ltable_family,rtable_name,rtable_genus,rtable_family
95,1133,214,"gray snubnosed monkey, grey snubnosed monkey, guizhou snubnosed monkey",Rhinopithecus,Cercopithecidae,brelichs snubnosed langur; brelichs snubnosed monkey; gray snubnosed monkey; guizhou snubnosed langur; guizhou snubnosed monkey; grey snubnosed monkey ,Rhinopithecus ,Cercopithecidae
96,1133,784,"gray snubnosed monkey, grey snubnosed monkey, guizhou snubnosed monkey",Rhinopithecus,Cercopithecidae,dollmans snubnosed langur; dollmans snubnosed monkey; tonkin snubnosed langur; tonkin snubnosed monkey ,Rhinopithecus ,Cercopithecidae
97,1133,785,"gray snubnosed monkey, grey snubnosed monkey, guizhou snubnosed monkey",Rhinopithecus,Cercopithecidae,dollmans snubnosed langur; dollmans snubnosed monkey; tonkin snubnosed langur; tonkin snubnosed monkey ,Rhinopithecus ,Cercopithecidae
98,1188,73,"silverybrown bareface tamarin, silverybrown tamarin, whitefooted tamarin",Saguinus,Callitrichidae,pied barefaced tamarin; pied tamarin; brazilian barefaced tamarin ,Saguinus ,Callitrichidae
99,1188,74,"silverybrown bareface tamarin, silverybrown tamarin, whitefooted tamarin",Saguinus,Callitrichidae,pied barefaced tamarin; pied tamarin; brazilian barefaced tamarin ,Saguinus ,Callitrichidae
100,1188,417,"silverybrown bareface tamarin, silverybrown tamarin, whitefooted tamarin",Saguinus,Callitrichidae,silverybrown tamarin; whitefooted tamarin; silverybrown bareface tamarin ,Saguinus ,Callitrichidae
101,1188,418,"silverybrown bareface tamarin, silverybrown tamarin, whitefooted tamarin",Saguinus,Callitrichidae,silverybrown tamarin; whitefooted tamarin; silverybrown bareface tamarin ,Saguinus ,Callitrichidae
102,1188,591,"silverybrown bareface tamarin, silverybrown tamarin, whitefooted tamarin",Saguinus,Callitrichidae,cottontop tamarin; crested tamarin; cottonheaded tamarin ,Saguinus ,Callitrichidae
103,1192,3,adriatic salmon,Salmo,Salmonidae,adriatic trout; softmouth trout; adriatic salmon ,Salmo ,Salmonidae
104,1192,520,adriatic salmon,Salmo,Salmonidae,flathead trout; turkish trout; ala balik ,Salmo ,Salmonidae
105,1372,67,plateau shiner,Cyprinella,Cyprinidae,erogala caeruleus; notropis caeruleus; photogenis caeruleus; blue shiner ,Cyprinella ,Cyprinidae
106,1380,514,bluemask darter,Etheostoma,Percidae,yellowcheeked darter; yellowcheek darter ,Etheostoma ,Percidae
107,1403,231,cuban solenodon,Solenodon,Solenodontidae,haitian solenodon; hispaniolan solenodon ,Solenodon ,Solenodontidae
108,1404,231,"haitian solenodon, hispaniolan solenodon",Solenodon,Solenodontidae,haitian solenodon; hispaniolan solenodon ,Solenodon ,Solenodontidae
109,1454,783,zapahuira water frog,Telmatobius,Telmatobiidae,andean frog; crawfords water frog; lake titicaca frog; white water frog; titicaca water frog ,Telmatobius ,Leptodactylidae
110,1462,500,"ramsays python, woma",Aspidites,Pythonidae,ramsays python; sand python; woma python ,Aspidites ,Boidae
111,1470,2,"adelaide pigmy bluetongue skink, pygmy bluetongue",Tiliqua,Scincidae,adelaide pigmy bluetongue skink; pygmy bluetongue; adelaide pygmy bluetongue skink ,Tiliqua ,Scincidae
112,1496,103,coachella valley fringetoed lizard,Uma,Phrynosomatidae,coachella uma; coachella valley fringetoed lizard ,Uma ,Phrynosomatidae
113,1501,90,caucasian caucasus,Vipera,Viperidae,caucasus viper; caucasian viper ,Vipera ,Viperidae
114,1501,598,caucasian caucasus,Vipera,Viperidae,vipera kaznakovi dinniki; darevskys viper ,Vipera ,Viperidae
115,1501,709,caucasian caucasus,Vipera,Viperidae,pelias orlovi; vipera kaznakovi; orlovs viper ,Vipera ,Viperidae
116,1511,484,"lorenz von liburnaus woolly lemur, western avahi, western woolly lemur",Avahi,Indriidae,lorenz von liburnaus woolly lemur; western avahi; western woolly lemur ,Avahi ,Indriidae
117,1513,402,border barb,Barbus,Cyprinidae,clanwilliam sawfin; sawfin ,Barbus ,Cyprinidae
118,1515,783,"andes smooth frog, lake junin frog, marbled water frog",Telmatobius,Telmatobiidae,andean frog; crawfords water frog; lake titicaca frog; white water frog; titicaca water frog ,Telmatobius ,Leptodactylidae
